DOY,GEE
38259,-0.1114672
38260,-0.150053
38261,-0.084099
38262,-0.1915382
38263,-0.1990754
38264,-0.1128932
38265,-0.185296
38266,-0.1886097
38267,-0.2916526
38268,-0.1136772
38269,-0.1517995
38270,-0.2950864
38271,-0.3603286
38272,-0.6178631
38273,-0.4859568
38274,-0.5906035
38275,-0.6776277
38276,-1.405089
38277,-0.4452307
38278,-3.567452
38279,-2.331355
38280,-1.377145
38281,-0.947249
38282,-1.516653
38283,-0.7063477
38284,-1.489212
38285,-3.744673
38286,-1.003718
38287,-0.5998885
38288,-0.9705732
38289,-1.529899
38290,-1.354036
38291,-1.302123
38292,-1.500812
38293,-1.811745
38294,-1.261597
38295,-1.553228
38296,-1.229272
38297,-1.809973
38298,-1.262454
38299,-1.238621
38300,-2.234783
38301,-1.570602
38302,-1.610549
38303,-1.889582
38304,-1.785544
38305,-1.761014
38306,-1.675501
38307,-1.805625
38308,-1.407588
38309,-1.565947
38310,-1.712469
38311,-1.190537
38312,-1.274251
38313,-1.660887
38314,-1.579537
38315,-1.330717
38316,-1.091473
38317,-1.375386
38318,-1.057534
38319,-0.8526655
38320,-1.090429
38321,-1.266932
38322,-0.79778
38323,-1.564233
38324,-1.391685
38325,-1.367583
38326,-1.807456
38327,-1.297615
38328,-1.038656
38329,-1.415628
38330,-1.233239
38331,-1.322907
38332,-1.095888
38333,-0.9525263
38334,-0.9878163
38335,-1.489724
38336,-0.9879518
38337,-1.528195
38338,-1.028777
38339,-1.429997
38340,-1.232449
38341,-1.797125
38342,-1.741478
38343,-1.807074
38344,-1.719428
38345,-1.454371
38346,-1.704095
38347,-1.075194
38348,-1.247614
38349,-2.197377
38350,-1.088851
38351,-1.922286
38352,-2.358193
38353,-2.059669
38354,-1.862843
38355,-2.116455
38356,-2.316669
38357,-2.602962
38358,-1.993171
38359,-2.782175
38360,-2.276885
38361,-2.141807
38362,-2.290291
38363,-2.38461
38364,-2.80678
38365,-2.136393
38366,-2.223148
38367,-1.136991
38368,-1.222496
38369,-1.649966
38370,-1.302663
38371,-1.518742
38372,-1.795132
38373,-1.001642
38374,-1.457663
38375,-2.394917
38376,-2.26393
